file,label,MDM/Profile,Logs/System,Comm/Energy,Apps/Finance/SNS,Journal/Shortcuts/Cal,External/UIJack,Vendors,Vuln/Chip/FW,Flame,Exclude
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,162222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,165555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,168888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,172222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,175555,0,0,0,0,0,0,0,0,1,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,178888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,182222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,185555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,188888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,192222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,195555,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,198888,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,202222,0,0,0,0,0,0,0,0,0,0
/mnt/data/KABUKI_INV_2025-06-04_outputs/bug_type_288-2025_0604_221905.extracted.txt,205555,0,0,0,0,0,0,0,0,0,0
